,runway,mom_sil,mom_ht,scaleparm,CIlow,CIhigh,treatment,RIL,replicate,meandisp
1,NA,NA,NA,3.000000046,1.607469326,5.031531714,LOLIUM,53,1,0.333333328
2,NA,NA,NA,0.770791251,0.695871199,0.850912831,EMPTY,53,2,1.297368126
3,NA,NA,NA,0.818713165,0.690495805,0.961932136,EMPTY,53,3,1.221428997
4,NA,NA,NA,1.662252542,1.465017409,1.87647292,LOLIUM,53,4,0.601593305
5,NA,NA,NA,1.071428576,0.96453366,1.185956238,EMPTY,53,5,0.933333329
6,NA,NA,NA,2.941188118,2.199584381,3.833441717,LOLIUM,53,6,0.339998654
7,NA,NA,NA,0.964914285,0.890054376,1.04385914,EMPTY,53,7,1.036361484
8,NA,NA,NA,2.449014043,2.20464799,2.710756835,LOLIUM,53,8,0.408327589
9,NA,NA,NA,1.888198808,1.742064423,2.042295176,LOLIUM,53,9,0.529605249
10,NA,NA,NA,1.276376615,1.202851727,1.352839563,EMPTY,53,10,0.783467817
11,NA,NA,NA,3.014388866,2.73490757,3.312318201,EMPTY,58,11,0.331742202
12,NA,NA,NA,2.144350697,2.048653832,2.242941149,LOLIUM,58,12,0.46634163
13,NA,NA,NA,2.100000148,1.925455957,2.284800158,EMPTY,58,13,0.476190443
14,NA,NA,NA,6.203126693,5.781607114,6.644669057,EMPTY,58,14,0.161209024
15,NA,NA,NA,12.13636419,10.73834312,13.65097413,LOLIUM,58,15,0.082397
16,NA,NA,NA,4.403508848,4.029461108,4.800048551,LOLIUM,58,16,0.22709163
17,NA,NA,NA,2.441184831,2.18792947,2.713281527,EMPTY,58,17,0.409637151
18,NA,NA,NA,4.12413792,3.802370883,4.463586486,LOLIUM,58,18,0.242474917
19,NA,NA,NA,3.857142926,2.579400486,5.500683373,EMPTY,58,19,0.259259255
20,NA,NA,NA,1.605072517,1.460215042,1.759220819,LOLIUM,58,20,0.62302481
21,NA,NA,NA,2.510204218,2.333431005,2.695696455,LOLIUM,144,21,0.398373962
22,NA,NA,NA,3.268570751,3.116352163,3.425672051,EMPTY,144,22,0.305944119
23,NA,NA,NA,5.852289425,5.614304866,6.096998521,EMPTY,144,23,0.170873299
24,NA,NA,NA,2.561068751,2.372148432,2.759773818,EMPTY,144,24,0.39046199
25,NA,NA,NA,5.886363748,5.198337064,6.632685915,LOLIUM,144,25,0.169884167
26,NA,NA,NA,3.986485882,3.548738283,4.458895065,EMPTY,144,26,0.250847496
27,NA,NA,NA,3.121787368,2.852689317,3.407337431,LOLIUM,144,27,0.320329312
28,NA,NA,NA,7.678595935,7.267139331,8.105256502,LOLIUM,144,28,0.130232143
29,NA,NA,NA,3.019470401,2.878445613,3.165028173,EMPTY,144,29,0.331183905
30,NA,NA,NA,21.31578909,19.30673531,23.45981387,LOLIUM,144,30,0.046913581
31,NA,NA,NA,0.951610138,0.729036174,1.215511583,EMPTY,187,31,1.050850511
32,NA,NA,NA,2.918357834,2.650859367,3.203320052,EMPTY,187,32,0.34265846
33,NA,NA,NA,4.833333223,4.406802826,5.286574528,LOLIUM,187,33,0.206896556
34,NA,NA,NA,9.285714178,8.31248044,10.33222657,LOLIUM,187,34,0.107692309
35,NA,NA,NA,2.158570329,1.855994084,2.492362034,EMPTY,187,35,0.463269594
36,NA,NA,NA,6.510638407,5.808189905,7.267657374,LOLIUM,187,36,0.153594769
37,NA,NA,NA,42.71410268,38.0541788,47.74080323,LOLIUM,187,37,0.023411472
38,NA,NA,NA,5.305918515,5.090829475,5.52731077,EMPTY,187,38,0.188468782
39,NA,NA,NA,1.704545461,1.636195447,1.774774363,EMPTY,187,39,0.586666664
40,NA,NA,NA,11.08724759,10.56116231,11.63053359,LOLIUM,187,40,0.090193711
