"","germnum","X","runway","mom_sil","mom_ht","scaleparm","CIlow","CIhigh","treatment","RIL","replicate","meandisp","lambda_compyes","lambda_compno"
"1",12,1,NA,NA,NA,3.000000046,1.607469326,5.031531714,"LOLIUM",53,1,0.333333328,1.14285714,12
"2",380,2,NA,NA,NA,0.770791251,0.695871199,0.850912831,"EMPTY",53,2,1.297368126,36.1904761,380
"3",140,3,NA,NA,NA,0.818713165,0.690495805,0.961932136,"EMPTY",53,3,1.221428997,13.3333333,140
"4",251,4,NA,NA,NA,1.662252542,1.465017409,1.87647292,"LOLIUM",53,4,0.601593305,23.904761845,251
"5",360,5,NA,NA,NA,1.071428576,0.96453366,1.185956238,"EMPTY",53,5,0.933333329,34.2857142,360
"6",50,6,NA,NA,NA,2.941188118,2.199584381,3.833441717,"LOLIUM",53,6,0.339998654,4.76190475,50
"7",605,7,NA,NA,NA,0.964914285,0.890054376,1.04385914,"EMPTY",53,7,1.036361484,57.619047475,605
"8",360,8,NA,NA,NA,2.449014043,2.20464799,2.710756835,"LOLIUM",53,8,0.408327589,34.2857142,360
"9",608,9,NA,NA,NA,1.888198808,1.742064423,2.042295176,"LOLIUM",53,9,0.529605249,57.90476176,608
"10",1113,10,NA,NA,NA,1.276376615,1.202851727,1.352839563,"EMPTY",53,10,0.783467817,105.999999735,1113
"11",419,11,NA,NA,NA,3.014388866,2.73490757,3.312318201,"EMPTY",58,11,0.331742202,18.359010426,419
"12",1872,12,NA,NA,NA,2.144350697,2.048653832,2.242941149,"LOLIUM",58,12,0.46634163,82.024027488,1872
"13",525,13,NA,NA,NA,2.100000148,1.925455957,2.284800158,"EMPTY",58,13,0.476190443,23.00353335,525
"14",794,14,NA,NA,NA,6.203126693,5.781607114,6.644669057,"EMPTY",58,14,0.161209024,34.790105676,794
"15",267,15,NA,NA,NA,12.13636419,10.73834312,13.65097413,"LOLIUM",58,15,0.082397,11.698939818,267
"16",502,16,NA,NA,NA,4.403508848,4.029461108,4.800048551,"LOLIUM",58,16,0.22709163,21.995759508,502
"17",332,17,NA,NA,NA,2.441184831,2.18792947,2.713281527,"EMPTY",58,17,0.409637151,14.546996328,332
"18",598,18,NA,NA,NA,4.12413792,3.802370883,4.463586486,"LOLIUM",58,18,0.242474917,26.202119892,598
"19",27,19,NA,NA,NA,3.857142926,2.579400486,5.500683373,"EMPTY",58,19,0.259259255,1.183038858,27
"20",443,20,NA,NA,NA,1.605072517,1.460215042,1.759220819,"LOLIUM",58,20,0.62302481,19.410600522,443
"21",738,21,NA,NA,NA,2.510204218,2.333431005,2.695696455,"LOLIUM",144,21,0.398373962,42.713825994,738
"22",1716,22,NA,NA,NA,3.268570751,3.116352163,3.425672051,"EMPTY",144,22,0.305944119,99.318327108,1716
"23",2259,23,NA,NA,NA,5.852289425,5.614304866,6.096998521,"EMPTY",144,23,0.170873299,130.745979567,2259
"24",671,24,NA,NA,NA,2.561068751,2.372148432,2.759773818,"EMPTY",144,24,0.39046199,38.836012523,671
"25",259,25,NA,NA,NA,5.886363748,5.198337064,6.632685915,"LOLIUM",144,25,0.169884167,14.990353567,259
"26",295,26,NA,NA,NA,3.986485882,3.548738283,4.458895065,"EMPTY",144,26,0.250847496,17.073954835,295
"27",487,27,NA,NA,NA,3.121787368,2.852689317,3.407337431,"LOLIUM",144,27,0.320329312,28.186494931,487
"28",1290,28,NA,NA,NA,7.678595935,7.267139331,8.105256502,"LOLIUM",144,28,0.130232143,74.66237877,1290
"29",1706,29,NA,NA,NA,3.019470401,2.878445613,3.165028173,"EMPTY",144,29,0.331183905,98.739548978,1706
"30",405,30,NA,NA,NA,21.31578909,19.30673531,23.45981387,"LOLIUM",144,30,0.046913581,23.440514265,405
"31",59,31,NA,NA,NA,0.951610138,0.729036174,1.215511583,"EMPTY",187,31,1.050850511,3.789953323,59
"32",429,32,NA,NA,NA,2.918357834,2.650859367,3.203320052,"EMPTY",187,32,0.34265846,27.557457213,429
"33",464,33,NA,NA,NA,4.833333223,4.406802826,5.286574528,"LOLIUM",187,33,0.206896556,29.805734608,464
"34",325,34,NA,NA,NA,9.285714178,8.31248044,10.33222657,"LOLIUM",187,34,0.107692309,20.876861525,325
"35",177,35,NA,NA,NA,2.158570329,1.855994084,2.492362034,"EMPTY",187,35,0.463269594,11.369859969,177
"36",306,36,NA,NA,NA,6.510638407,5.808189905,7.267657374,"LOLIUM",187,36,0.153594769,19.656368082,306
"37",299,37,NA,NA,NA,42.71410268,38.0541788,47.74080323,"LOLIUM",187,37,0.023411472,19.206712603,299
"38",2271,38,NA,NA,NA,5.305918515,5.090829475,5.52731077,"EMPTY",187,38,0.188468782,145.881084687,2271
"39",2325,39,NA,NA,NA,1.704545461,1.636195447,1.774774363,"EMPTY",187,39,0.586666664,149.349855525,2325
"40",1652,40,NA,NA,NA,11.08724759,10.56116231,11.63053359,"LOLIUM",187,40,0.090193711,106.118693044,1652
